paper_id,paper_title,baseline,baseline_type
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,Chain-of-Notes,external
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,ReadAgent,external
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,MemoryBank,external
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,A-Mem,external
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,Mem0,external
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,LangMem,external
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,MemoryOS,external
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,ReadAgent,external
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,MemoryBank,external
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,A-Mem,external
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,LangMem,external
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,Mem0,external
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,MemoryOS,external
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,LightMem,external
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,Full Context / LoCoMo,control_or_internal
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,Qwen3-Embed-8B,external
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,NV-Embed-v2,external
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,Mem0,external
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,Graphiti,external
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,HippoRAG 2,external
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,Full Context / LoCoMo,control_or_internal
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,ReadAgent,external
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,MemoryBank,external
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,MemGPT,external
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,A-Mem,external
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,LightMem,external
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,Mem0,external
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,SimpleMem,external
2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,Full Context / LoCoMo,control_or_internal
2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,ReadAgent,external
2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,MemoryBank,external
2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,MemGPT,external
2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,A-Mem,external
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,Full Context / LoCoMo,control_or_internal
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,RAG / Naive RAG,external
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,LangMem,external
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,Mem0,external
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,A-Mem,external
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,LightMem,external
2604.01007,Omni-SimpleMem: Autoresearch-Guided Discovery of Lifelong Multimodal Agent Memory,Naive baseline,control_or_internal
2604.01007,Omni-SimpleMem: Autoresearch-Guided Discovery of Lifelong Multimodal Agent Memory,SimpleMem,external
2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,Full Context / LoCoMo,control_or_internal
2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,ReadAgent,external
2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,MemoryBank,external
2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,MemGPT,external
2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,A-Mem,external
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,Full Context / LoCoMo,control_or_internal
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,ReadAgent,external
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,MemoryBank,external
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,MemGPT,external
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,A-Mem,external
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,Mem0,external
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,LightMem,external
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,MemoryOS,external
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,RAG / Naive RAG,external
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,HippoRAG 2,external
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,Mem0,external
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,A-Mem,external
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,MemoryOS,external
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,LightMem,external
2604.18349,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,ReadAgent,external
2604.18349,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,MemoryBank,external
2604.18349,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,A-Mem,external
2604.18349,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,Full Context / LoCoMo,control_or_internal
2604.27695,EviMem: Evidence-Gap-Driven Iterative Retrieval for Long-Term Conversational Memory,Single-pass,control_or_internal
2604.27695,EviMem: Evidence-Gap-Driven Iterative Retrieval for Long-Term Conversational Memory,MIRIX,external
MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,RAG / Naive RAG,external
MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,LangMem,external
MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,A-Mem,external
MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,MemoryOS,external
MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,Mem0,external
KeyMem-aiXiv-260326,KeyMem: Graph-Augmented Vector Retrieval for Persistent Conversational Memory in LLM Agents,Mem0,external
KeyMem-aiXiv-260326,KeyMem: Graph-Augmented Vector Retrieval for Persistent Conversational Memory in LLM Agents,SimpleMem,external
