status,model,dataset,language,method,expected_cat14_qa,prediction_count,f1,bleu1,rouge_l,bertscore_f1,judge_score,judge_correct,judge_acceptable,reason,metrics_path,judge_path
complete,qwen3_8b,opela,ko,memgas,200,200,0.44259477572273903,0.35936121013625505,0.4284095247961745,0.8893820956349373,0.58,0.58,0.58,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/memgas/normalized_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/memgas/normalized_judge_metrics_cat1_4.json
complete,qwen3_8b,perltqa,zh,amem,320,320,0.42212793177353447,0.3663615907904978,0.3779521890630679,0.8897376403212547,0.4125,0.4125,0.4125,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/amem_official/official_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/amem_official/official_judge_metrics_cat1_4.json
complete,qwen3_8b,perltqa,zh,higmem,320,320,0.4094787719476725,0.3690999125938309,0.36712687613959244,0.8891902264207602,0.421875,0.421875,0.421875,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/higmem/higmem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/higmem/higmem_judge_metrics_cat1_4.json
complete,qwen3_8b,perltqa,zh,full_context,320,320,0.3860690539960425,0.3372692716789466,0.3374557323315629,0.8874495493248105,0.38125,0.38125,0.38125,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/full_context_fixed/full_context/full_context_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/full_context_fixed/full_context/full_context_judge_metrics_cat1_4.json
complete,qwen3_8b,del1l2im,de,simplemem,180,180,0.3857142530246613,0.3275036670072495,0.38809296050978165,0.8700583871867922,0.55,0.55,0.55,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/simplemem/simplemem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/simplemem/simplemem_judge_metrics_cat1_4.json
complete,qwen3_8b,opela,ko,mem0,200,200,0.3791812866138094,0.3313843468854838,0.3558233530977511,0.880151111483574,0.46,0.46,0.46,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/mem0_fixed/mem0/mem0_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/mem0_fixed/mem0/mem0_judge_metrics_cat1_4.json
complete,qwen3_8b,perltqa,zh,mem0,320,320,0.3198633246001671,0.24874589944390235,0.2764392901613502,0.8762233797460794,0.303125,0.303125,0.303125,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/mem0_fixed/mem0/mem0_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/mem0_fixed/mem0/mem0_judge_metrics_cat1_4.json
complete,qwen3_8b,perltqa,zh,memgas,320,320,0.31505275941893707,0.24387633962042837,0.26649383498919377,0.8691168405115605,0.396875,0.396875,0.396875,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/memgas/normalized_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/memgas/normalized_judge_metrics_cat1_4.json
complete,qwen3_8b,del1l2im,de,mem0,180,180,0.3007116361049569,0.2632324234018224,0.295463794004399,0.8452365769280328,0.37222222222222223,0.37222222222222223,0.37222222222222223,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/mem0_fixed/mem0/mem0_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/mem0_fixed/mem0/mem0_judge_metrics_cat1_4.json
complete,qwen3_8b,opela,ko,simplemem,200,200,0.298292579290281,0.23259456721716693,0.28997250044041983,0.8331205242872238,0.62,0.62,0.62,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/simplemem/simplemem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/simplemem/simplemem_judge_metrics_cat1_4.json
complete,qwen3_8b,jlongchat,ja,simplemem,200,200,0.28873007381736665,0.19515089323215204,0.2701502542909382,0.8281544017791748,0.62,0.62,0.62,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/simplemem/simplemem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/simplemem/simplemem_judge_metrics_cat1_4.json
complete,qwen3_8b,perltqa,zh,simplemem,320,320,0.16529380730670046,0.07855699965315119,0.14871914444494674,0.827874749340117,0.284375,0.284375,0.284375,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/simplemem/simplemem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/perltqa/simplemem/simplemem_judge_metrics_cat1_4.json
